seed_set,method,density_pct,n,mean,sd,median,iqr_low,iqr_high,ci95_low,ci95_high,min,max,n_at_or_above_90,shapiro_W,shapiro_p,normal_at_05
A,Boids,0,50,87.89,4.46,88.52,85.59,90.99,86.65,89.07,73.12,93.84,17,0.9177,0.001943,False
A,Boids,10,50,86.71,4.77,87.19,84.6,89.76,85.37,87.97,68.77,94.1,12,0.9052,0.000716,False
A,Boids,20,50,85.72,5.58,86.72,82.72,89.45,84.14,87.21,64.55,95.13,12,0.9188,0.002134,False
A,Boids,30,50,84.62,6.58,85.08,82.27,88.93,82.73,86.31,56.78,94.13,9,0.8751,8e-05,False
A,APF,0,50,91.36,3.57,92.06,89.61,93.73,90.35,92.3,79.72,96.32,36,0.9043,0.000669,False
A,APF,10,50,92.52,3.88,93.87,90.28,95.61,91.42,93.53,83.07,97.15,39,0.887,0.000184,False
A,APF,20,50,94.2,3.45,95.1,93.32,96.46,93.23,95.12,84.51,98.29,42,0.8796,0.000109,False
A,APF,30,50,94.66,2.71,95.07,93.46,96.58,93.89,95.36,85.07,99.02,47,0.9122,0.001246,False
A,PPO,0,50,85.79,5.72,87.1,84.03,90.0,84.17,87.28,64.76,91.8,13,0.8459,1.2e-05,False
A,PPO,10,50,84.99,5.53,85.37,81.88,89.44,83.42,86.45,72.21,94.34,9,0.976,0.398355,True
A,PPO,20,50,84.83,6.95,86.84,81.24,90.21,82.81,86.7,61.84,95.13,13,0.903,0.000606,False
A,PPO,30,50,83.8,6.13,84.7,79.45,89.01,82.11,85.42,70.36,92.2,10,0.9373,0.010563,False
A,MARL,0,50,96.07,1.51,96.58,95.52,97.06,95.63,96.46,91.2,98.2,50,0.8628,3.5e-05,False
A,MARL,10,50,93.73,2.53,94.16,92.87,95.42,92.99,94.4,85.22,97.84,45,0.9393,0.012672,False
A,MARL,20,50,93.55,3.69,94.44,90.97,96.45,92.53,94.53,85.47,98.7,41,0.9255,0.003735,False
A,MARL,30,50,90.84,5.69,92.11,87.57,94.92,89.21,92.31,68.54,97.57,35,0.8618,3.3e-05,False
B,Boids,0,50,86.64,4.58,87.5,84.64,89.61,85.33,87.84,72.2,93.6,12,0.9314,0.006223,False
B,Boids,10,50,86.82,6.38,88.22,85.87,90.55,84.96,88.49,65.67,95.3,18,0.8305,5e-06,False
B,Boids,20,50,87.46,4.88,87.61,83.78,91.23,86.1,88.77,75.43,96.22,17,0.9718,0.274584,True
B,Boids,30,50,83.62,6.74,85.46,79.71,87.97,81.72,85.44,61.83,93.54,7,0.9261,0.003942,False
B,APF,0,50,90.46,4.1,90.88,87.49,93.95,89.34,91.56,80.92,96.88,27,0.9566,0.064111,True
B,APF,10,50,93.02,3.81,94.0,91.08,95.38,91.91,94.02,78.26,97.76,41,0.8716,6.3e-05,False
B,APF,20,50,94.52,2.83,95.48,92.3,96.56,93.72,95.27,87.12,98.34,47,0.9256,0.003786,False
B,APF,30,50,94.04,4.42,95.29,92.41,97.23,92.78,95.24,79.99,98.73,42,0.8362,7e-06,False
B,PPO,0,50,85.58,5.16,86.16,82.58,89.44,84.16,86.97,69.48,94.68,11,0.9736,0.322908,True
B,PPO,10,50,85.93,4.72,86.27,83.93,89.44,84.57,87.19,71.49,93.58,8,0.9403,0.013875,False
B,PPO,20,50,84.38,6.3,85.48,79.59,89.37,82.66,86.08,67.0,94.76,9,0.9706,0.245845,True
B,PPO,30,50,82.22,6.77,81.9,80.23,87.12,80.33,84.04,65.97,94.98,5,0.9458,0.023085,False
B,MARL,0,50,95.48,1.81,95.82,94.65,96.59,94.98,95.95,88.76,98.4,49,0.9143,0.001471,False
B,MARL,10,50,93.84,2.74,94.57,92.47,95.74,93.08,94.57,85.55,97.51,46,0.8931,0.000286,False
B,MARL,20,50,92.79,3.78,93.83,89.61,95.83,91.73,93.81,83.06,98.18,36,0.9452,0.021845,False
B,MARL,30,50,93.14,3.8,94.34,91.35,95.55,92.04,94.14,81.28,98.62,41,0.9136,0.001391,False
