method,density_pct,mean_A,mean_B,degradation_pp,degradation_ci95_low,degradation_ci95_high,under_10pp_criterion,mannwhitney_U,mannwhitney_p,welch_t,welch_p,cliffs_delta,cliffs_magnitude,mannwhitney_p_holm,significant_holm_05
Boids,0,87.89,86.64,1.25,-0.48,2.97,True,1474.0,0.12335732245058696,1.383,0.16967948881229689,0.179,small,1.0,False
Boids,10,86.71,86.82,-0.11,-2.25,2.11,True,1110.0,0.3362064160117333,-0.1,0.9209584590135258,-0.112,negligible,1.0,False
Boids,20,85.72,87.46,-1.73,-3.76,0.26,True,1035.0,0.13921399807803525,-1.654,0.10140565716875038,-0.172,small,1.0,False
Boids,30,84.62,83.62,1.0,-1.55,3.58,True,1335.0,0.5602112355080962,0.752,0.45369624744847903,0.068,negligible,1.0,False
APF,0,91.36,90.46,0.9,-0.6,2.34,True,1407.0,0.2806269836277133,1.167,0.2462241129152911,0.126,negligible,1.0,False
APF,10,92.52,93.02,-0.5,-1.98,1.0,True,1168.0,0.574219581399251,-0.65,0.5174015086022994,-0.066,negligible,1.0,False
APF,20,94.2,94.52,-0.32,-1.53,0.88,True,1216.0,0.8173591109195852,-0.507,0.6134562118011976,-0.027,negligible,1.0,False
APF,30,94.66,94.04,0.62,-0.76,2.07,True,1210.0,0.7853868315060774,0.841,0.40286902262582713,-0.032,negligible,1.0,False
PPO,0,85.79,85.58,0.21,-1.97,2.31,True,1357.5,0.4607245986948526,0.197,0.8443973951486956,0.086,negligible,1.0,False
PPO,10,84.99,85.93,-0.94,-2.96,1.04,True,1115.5,0.35560366409876454,-0.917,0.3612425008424959,-0.108,negligible,1.0,False
PPO,20,84.83,84.38,0.45,-2.17,2.97,True,1346.0,0.5103069616303375,0.336,0.7375251888556793,0.077,negligible,1.0,False
PPO,30,83.8,82.22,1.58,-0.88,4.14,True,1450.5,0.1679662614687859,1.221,0.22508772970362198,0.16,small,1.0,False
MARL,0,96.07,95.48,0.6,-0.04,1.25,True,1541.5,0.04481074374717048,1.786,0.07735445023360679,0.233,small,0.6721611562075571,False
MARL,10,93.73,93.84,-0.11,-1.11,0.91,True,1184.0,0.6515966544412114,-0.218,0.8280886606828485,-0.053,negligible,1.0,False
MARL,20,93.55,92.79,0.76,-0.68,2.19,True,1397.0,0.3125218274148045,1.016,0.31220537801956644,0.118,negligible,1.0,False
MARL,30,90.84,93.14,-2.31,-4.22,-0.49,True,932.0,0.028611788580872256,-2.384,0.01935346995787947,-0.254,small,0.4577886172939561,False
