seed_set,density_pct,comparison,mean_a,mean_b,mean_diff_pp,diff_ci95_low,diff_ci95_high,wilcoxon_W,wilcoxon_p,mannwhitney_U,mannwhitney_p,welch_t,welch_p,rank_biserial,cliffs_delta,cliffs_magnitude,cohens_dz,cohens_magnitude,wilcoxon_p_holm,mannwhitney_p_holm,significant_holm_05
A,0,MARL vs APF,96.07,91.36,4.71,3.67,5.81,38.0,7.156595119155721e-09,2329.0,1.0422762544646957e-13,8.587,2.352356498393672e-12,0.94,0.863,large,1.208,large,9.303573654902437e-08,1.8760972580364523e-12,True
A,0,MARL vs Boids,96.07,87.89,8.19,7.0,9.4,0.0,7.55351264387376e-10,2472.0,3.724700715325732e-17,12.29,4.728064585026099e-18,1.0,0.978,large,1.864,large,1.2840971494585393e-08,8.566811645249184e-16,True
A,0,MARL vs PPO,96.07,85.79,10.28,8.72,11.95,1.0,8.025661325646563e-10,2492.0,1.137889412660208e-17,12.283,1.670045129823472e-17,0.998,0.994,large,1.746,large,1.2841058121034501e-08,2.7309345903844993e-16,True
A,0,APF vs Boids,91.36,87.89,3.47,1.84,5.11,268.0,0.0003612192659803199,1876.0,1.6156187480152675e-05,4.296,4.258588254080735e-05,0.58,0.501,large,0.579,medium,0.0025285348618622394,0.0001292494998412214,True
A,0,PPO vs APF,85.79,91.36,-5.57,-7.68,-3.62,144.0,3.157372805244776e-06,407.0,6.312174312966727e-09,-5.837,1.0203338638883829e-07,-0.765,-0.674,large,-0.75,medium,2.8416355247202982e-05,6.9433917442634e-08,True
A,0,PPO vs Boids,85.79,87.89,-2.1,-3.82,-0.43,372.5,0.010522659099706915,962.0,0.047471589590730535,-2.045,0.04370190782722731,-0.416,-0.23,small,-0.34,small,0.06313595459824149,0.2848295375443832,False
A,10,MARL vs APF,93.73,92.52,1.21,-0.09,2.53,483.0,0.13807290852462017,1393.0,0.325917929137599,1.842,0.06901502881766217,0.242,0.114,negligible,0.253,small,0.5522916340984807,1.0,False
A,10,MARL vs Boids,93.73,86.71,7.02,5.59,8.51,27.0,3.784185397008434e-09,2341.0,5.5743732896501166e-14,9.193,6.802356444175253e-14,0.958,0.873,large,1.309,large,5.2978595558118076e-08,1.1148746579300233e-12,True
A,10,MARL vs PPO,93.73,84.99,8.74,6.98,10.48,24.0,3.174293193611389e-09,2340.0,5.875959498577242e-14,10.168,2.47600686749781e-15,0.962,0.872,large,1.386,large,4.7614397904170835e-08,1.116432304729676e-12,True
A,10,APF vs Boids,92.52,86.71,5.82,4.12,7.44,118.0,5.305899156474392e-07,2110.0,3.1184506069030992e-09,6.688,1.6031501273135564e-09,0.815,0.688,large,0.948,large,5.8364890721218306e-06,3.742140728283719e-08,True
A,10,PPO vs APF,84.99,92.52,-7.54,-9.34,-5.69,66.0,3.489741828843762e-10,318.5,1.379262139373339e-10,-7.892,7.796373663709196e-12,-0.896,-0.745,large,-1.133,large,6.281535291918772e-09,1.7930407811853405e-09,True
A,10,PPO vs Boids,84.99,86.71,-1.72,-3.4,-0.03,440.0,0.08617882314679096,992.5,0.07644154232541546,-1.665,0.09923506634337073,-0.282,-0.206,small,-0.278,small,0.43089411573395475,0.3822077116270773,False
A,20,MARL vs APF,93.55,94.2,-0.65,-2.02,0.72,512.0,0.22974800885474522,1120.0,0.37199124245704807,-0.911,0.3645863512573846,-0.197,-0.104,negligible,-0.132,negligible,0.6892440265642357,1.0,False
A,20,MARL vs Boids,93.55,85.72,7.83,6.11,9.58,48.0,4.3806736016449577e-11,2236.0,1.0917272234860089e-11,8.269,1.6324745412774554e-12,0.925,0.789,large,1.254,large,8.761347203289915e-10,1.6375908352290133e-10,True
A,20,MARL vs PPO,93.55,84.83,8.72,6.56,10.98,50.0,5.610267805877811e-11,2223.0,2.0245751761875938e-11,7.838,2.5017721241988112e-11,0.922,0.778,large,1.078,large,1.065950883116784e-09,2.8344052466626314e-10,True
A,20,APF vs Boids,94.2,85.72,8.48,6.68,10.38,28.0,2.6343371928305714e-12,2304.0,3.796094168474119e-13,9.133,4.0621379925412973e-14,0.956,0.843,large,1.28,large,5.795541824227257e-11,6.453360086406002e-12,True
A,20,PPO vs APF,84.83,94.2,-9.37,-11.67,-7.24,41.0,1.7687185049908294e-11,198.0,4.203200994727817e-13,-8.542,1.5280306358499668e-12,-0.936,-0.842,large,-1.16,large,3.7143088604807417e-10,6.725121591564507e-12,True
A,20,PPO vs Boids,84.83,85.72,-0.89,-3.39,1.63,572.0,0.5335711137818162,1209.0,0.7800915700498592,-0.709,0.48028734484360525,-0.103,-0.033,negligible,-0.097,negligible,0.7244860474946364,1.0,False
A,30,MARL vs APF,90.84,94.66,-3.82,-5.59,-2.15,232.0,4.4254613142058474e-05,649.0,3.477014363658255e-05,-4.293,5.553539078956519e-05,-0.636,-0.481,large,-0.615,medium,0.0003540369051364678,0.00024339100545607784,True
A,30,MARL vs Boids,90.84,84.62,6.21,3.87,8.46,158.0,6.78354924232849e-07,2028.0,8.324731387576603e-08,5.049,2.1059762729020818e-06,0.752,0.622,large,0.752,medium,6.7835492423284904e-06,7.492258248818942e-07,True
A,30,MARL vs PPO,90.84,83.8,7.04,4.54,9.52,148.0,3.486415511844143e-07,2072.0,1.4851257177895144e-08,5.952,4.170590751727068e-08,0.768,0.658,large,0.795,medium,4.183698614212972e-06,1.4851257177895144e-07,True
A,30,APF vs Boids,94.66,84.62,10.04,8.24,11.98,8.0,4.440892098500626e-14,2403.0,1.939912954709809e-15,9.967,9.884046879203113e-15,0.987,0.922,large,1.477,large,1.021405182655144e-12,4.073817204890599e-14,True
A,30,PPO vs APF,83.8,94.66,-10.87,-12.65,-9.13,2.0,5.329070518200751e-15,62.0,2.691312971012644e-16,-11.455,1.7780847850182084e-17,-0.997,-0.95,large,-1.683,large,1.2789769243681803e-13,5.920888536227816e-15,True
A,30,PPO vs Boids,83.8,84.62,-0.83,-2.93,1.32,542.0,0.3622430237473182,1147.5,0.4819487302851204,-0.651,0.516537444673381,-0.15,-0.082,negligible,-0.108,negligible,0.7244860474946364,1.0,False
B,0,MARL vs APF,95.48,90.46,5.02,3.72,6.31,80.5,7.574971732373093e-08,2196.5,6.939242294788911e-11,7.916,3.307666555870653e-11,0.874,0.757,large,1.064,large,8.332468905610402e-07,9.021014983225585e-10,True
B,0,MARL vs Boids,95.48,86.64,8.84,7.48,10.31,8.0,4.440892098500626e-14,2462.0,6.705225477562185e-17,12.691,4.059047192238575e-19,0.987,0.97,large,1.717,large,1.021405182655144e-12,1.6092541146149246e-15,True
B,0,MARL vs PPO,95.48,85.58,9.9,8.46,11.43,0.0,1.7763568394002505e-15,2455.5,9.790239042448182e-17,12.819,6.10042552205174e-19,1.0,0.964,large,1.791,large,4.263256414560601e-14,2.251754979763082e-15,True
B,0,APF vs Boids,90.46,86.64,3.83,1.88,5.82,290.5,0.000808970228781416,1814.5,0.00010098232419444779,4.398,2.804368515472348e-05,0.544,0.452,medium,0.541,medium,0.006471761830251328,0.0008078585935555823,True
B,0,PPO vs APF,85.58,90.46,-4.89,-6.67,-3.08,182.0,1.0970981712367862e-05,571.0,2.903554149195182e-06,-5.245,9.706286326304464e-07,-0.715,-0.543,large,-0.751,medium,9.873883541131076e-05,2.6131987342756637e-05,True
B,0,PPO vs Boids,85.58,86.64,-1.06,-2.86,0.67,517.5,0.34465947148879783,1069.5,0.2146307754933805,-1.088,0.27925925776539967,-0.155,-0.144,negligible,-0.165,negligible,0.9648809854779543,0.6438923264801415,False
B,10,MARL vs APF,93.84,93.02,0.82,-0.59,2.3,567.0,0.5024899674262855,1391.0,0.33275249078837266,1.236,0.2196785681799825,0.111,0.113,negligible,0.157,negligible,0.9648809854779543,0.6438923264801415,False
B,10,MARL vs Boids,93.84,86.82,7.02,5.15,9.05,86.0,2.5633326572460646e-09,2254.0,4.582316266385768e-12,7.151,8.449943826610706e-10,0.865,0.803,large,0.987,large,3.5886657201444905e-08,6.873474399578653e-11,True
B,10,MARL vs PPO,93.84,85.93,7.91,6.34,9.46,38.0,7.1580307432861945e-09,2367.0,1.3935251186015856e-14,10.247,3.8998587827054336e-16,0.94,0.894,large,1.397,large,9.305439966272054e-08,3.0657552609234883e-13,True
B,10,APF vs Boids,93.02,86.82,6.2,4.21,8.31,124.0,6.220717985172541e-08,2131.0,1.2788905575008898e-09,5.9,8.343851727605512e-08,0.805,0.705,large,0.817,large,7.46486158220705e-07,1.4067796132509788e-08,True
B,10,PPO vs APF,85.93,93.02,-7.09,-8.99,-5.29,78.0,1.192391962945294e-09,236.0,2.810115649849595e-12,-8.26,9.15346493824473e-13,-0.878,-0.811,large,-1.044,large,1.8473246966915964e-08,4.496185039759352e-11,True
B,10,PPO vs Boids,85.93,86.82,-0.89,-3.07,1.35,522.0,0.2695104487517437,1011.5,0.10085263287375693,-0.791,0.4310913264050552,-0.181,-0.191,small,-0.111,negligible,0.9648809854779543,0.4034105314950277,False
B,20,MARL vs APF,92.79,94.52,-1.73,-2.99,-0.51,430.0,0.045027510990479414,916.0,0.0214991068406409,-2.59,0.011166372826876674,-0.325,-0.267,small,-0.381,small,0.2701650659428765,0.1289946410438454,False
B,20,MARL vs Boids,92.79,87.46,5.33,3.69,7.06,144.0,2.649707155910619e-07,2017.0,1.2631531356692145e-07,6.11,2.3544955790637638e-08,0.774,0.614,large,0.869,large,2.649707155910619e-06,1.2631531356692144e-06,True
B,20,MARL vs PPO,92.79,84.38,8.41,6.41,10.49,64.0,2.8132163265581767e-10,2192.5,8.358796512060641e-11,8.092,5.266523502729098e-12,0.9,0.754,large,1.114,large,4.7824677551489e-09,1.003055581447277e-09,True
