seed_set,method,density_pct,mean,ci95_low,ci95_high,prop_runs_at_or_above_90,wilcoxon_stat,p_greater_than_90,p_less_than_90,verdict,p_greater_holm,p_less_holm
A,Boids,0,87.89,86.62,89.05,0.34,353.0,0.9969882717674234,0.0030117282325765543,indistinguishable from 90%,1.0,0.05119937995380142
A,Boids,10,86.71,85.35,87.94,0.24,172.0,0.9999992264070077,8.227626562273826e-07,falls short of 90%,1.0,1.7278015780775036e-05
A,Boids,20,85.72,84.15,87.17,0.24,159.0,0.9999996608225379,3.619627628737021e-07,falls short of 90%,1.0,8.68710630896885e-06
A,Boids,30,84.62,82.68,86.33,0.18,101.0,0.9999999955148002,4.886431703710059e-09,falls short of 90%,1.0,1.4170651940759171e-07
A,APF,0,91.36,90.32,92.3,0.72,942.5,0.0016181538119644037,0.9983818461880356,exceeds 90%,0.03074492242732367,1.0
A,APF,10,92.52,91.42,93.56,0.78,1031.0,3.930600391832684e-05,0.9999624961464999,exceeds 90%,0.0007861200783665367,1.0
A,APF,20,94.2,93.22,95.1,0.84,1199.0,4.892566352054928e-10,0.999999999557236,exceeds 90%,1.2720672515342812e-08,1.0
A,APF,30,94.66,93.89,95.36,0.94,1241.0,3.3084646133829665e-12,0.9999999999971463,exceeds 90%,1.0256240301487196e-10,1.0
A,PPO,0,85.79,84.16,87.26,0.26,139.0,0.9999992537732224,7.462267775674702e-07,falls short of 90%,1.0,1.6416989106484346e-05
A,PPO,10,84.99,83.45,86.48,0.18,119.0,0.9999999804068844,2.1182016141096938e-08,falls short of 90%,1.0,5.719144358096173e-07
A,PPO,20,84.83,82.8,86.63,0.26,153.0,0.9999997717188043,2.4402596388028996e-07,falls short of 90%,1.0,6.100649097007249e-06
A,PPO,30,83.8,82.07,85.45,0.2,86.0,0.9999999988327968,1.2816663286230323e-09,falls short of 90%,1.0,3.844998985869097e-08
A,MARL,0,96.07,95.65,96.47,1.0,1275.0,3.7682246944181014e-10,0.9999999996231775,exceeds 90%,1.0551029144370683e-08,1.0
A,MARL,10,93.73,93.03,94.39,0.9,1224.0,3.168931783648077e-11,0.9999999999719487,exceeds 90%,9.50679535094423e-10,1.0
A,MARL,20,93.55,92.53,94.53,0.82,1109.0,3.9295985531356805e-07,0.9999996070401447,exceeds 90%,9.8239963828392e-06,1.0
A,MARL,30,90.84,89.16,92.3,0.7,836.0,0.027732858535168603,0.9728919088347716,indistinguishable from 90%,0.49919145363303485,1.0
B,Boids,0,86.64,85.28,87.84,0.24,158.0,0.9999969240634768,3.075936523188394e-06,falls short of 90%,1.0,6.151873046376789e-05
B,Boids,10,86.82,84.93,88.44,0.36,301.0,0.9995762145508174,0.0004403348495456427,falls short of 90%,1.0,0.008366362141367212
B,Boids,20,87.46,86.11,88.77,0.34,315.0,0.9992842440129293,0.0007423236722239324,falls short of 90%,1.0,0.013361826100030783
B,Boids,30,83.62,81.68,85.41,0.14,65.0,0.9999999998593392,1.567279639402841e-10,falls short of 90%,1.0,4.858566882148807e-09
B,APF,0,90.46,89.32,91.54,0.54,734.0,0.17578398677921686,0.8242160132207832,indistinguishable from 90%,1.0,1.0
B,APF,10,93.02,91.92,94.02,0.82,1115.0,2.0185090044979676e-06,0.9999979814909955,exceeds 90%,4.6425707103453254e-05,1.0
B,APF,20,94.52,93.73,95.26,0.94,1247.0,1.3171685964152857e-12,0.99999999999888,exceeds 90%,4.214939508528914e-11,1.0
B,APF,30,94.04,92.79,95.18,0.84,1113.0,4.392056069946193e-07,0.9999995881078902,exceeds 90%,1.0540934567870863e-05,1.0
B,PPO,0,85.58,84.14,86.93,0.22,135.0,0.9999993851799799,6.148200201705004e-07,falls short of 90%,1.0,1.414086046392151e-05
B,PPO,10,85.93,84.57,87.21,0.16,116.0,0.9999999845299881,1.674429572773306e-08,falls short of 90%,1.0,4.688402803765257e-07
B,PPO,20,84.38,82.63,86.09,0.18,123.0,0.9999999732968936,2.8824815423433847e-08,falls short of 90%,1.0,7.4944520100928e-07
B,PPO,30,82.22,80.36,84.01,0.1,47.0,0.9999999999829816,1.9318768806897424e-11,falls short of 90%,1.0,6.182006018207176e-10
B,MARL,0,95.48,94.97,95.95,0.98,1274.0,4.008309673585596e-10,0.9999999995991691,exceeds 90%,1.0822436118681109e-08,1.0
B,MARL,10,93.84,93.06,94.56,0.92,1212.0,1.2613377009529358e-10,0.9999999998869917,exceeds 90%,3.657879332763514e-09,1.0
B,MARL,20,92.79,91.73,93.8,0.72,1076.0,3.9734838503946435e-06,0.9999962407555172,exceeds 90%,8.344316085828751e-05,1.0
B,MARL,30,93.14,92.07,94.14,0.82,1109.0,2.662639793759978e-06,0.9999973373602062,exceeds 90%,5.857807546271951e-05,1.0
